timesteps,ep_env_score_mean,ep_rm_score_mean,ep_cushion_mean,ep_foul_rate,queries_used_so_far,rm_train_loss,relabel_delta_mean,relabel_delta_std
17160,0.0,0.07136140242218972,3.37,0.19,150,0.6835913360118866,0.0,0.0
17472,0.03,0.07396479837596416,3.55,0.14,150,0.6835913360118866,0.0,0.0
17784,0.0,0.07623619055375457,3.32,0.13,150,0.6835913360118866,0.0,0.0
18096,0.0,0.07940498162060976,3.29,0.19,150,0.6835913360118866,0.0,0.0
18408,0.0,0.08202890528365969,3.59,0.21,150,0.6835913360118866,0.0,0.0
18720,0.0,0.08414118912070989,3.5,0.17,150,0.6835913360118866,0.0,0.0
19032,0.02,0.08314080640673638,3.48,0.13,150,0.6835913360118866,0.0,0.0
19344,0.0,0.08177556045353412,3.59,0.1,150,0.6835913360118866,0.0,0.0
19656,0.0,0.08337723944336176,3.6,0.16,150,0.6835913360118866,0.0,0.0
19968,0.0,0.08447742186486722,3.4,0.19,150,0.6835913360118866,0.0,0.0
20280,0.0,0.17457459956407548,3.86,0.11,200,0.6741045117378235,0.0,0.0
20592,0.0,0.17811996653676032,3.76,0.25,200,0.6741045117378235,0.0,0.0
20904,0.0,0.17905525371432304,4.35,0.26,200,0.6741045117378235,0.0,0.0
21216,0.0,0.17994964480400086,4.33,0.17,200,0.6741045117378235,0.0,0.0
21528,0.0,0.1792219963669777,4.47,0.24,200,0.6741045117378235,0.0,0.0
21840,0.0,0.1793947933614254,4.48,0.14,200,0.6741045117378235,0.0,0.0
22152,0.0,0.1787981754541397,4.41,0.17,200,0.6741045117378235,0.0,0.0
22464,0.0,0.17666054129600525,4.22,0.11,200,0.6741045117378235,0.0,0.0
22776,0.0,0.17558134600520134,4.46,0.13,200,0.6741045117378235,0.0,0.0
23088,0.0,0.17459758870303632,4.57,0.07,200,0.6741045117378235,0.0,0.0
23400,0.0,0.17429840996861456,4.37,0.17,200,0.6741045117378235,0.0,0.0
23712,0.0,0.17311615809798242,4.47,0.12,200,0.6741045117378235,0.0,0.0
24024,0.0,0.1706822109222412,4.42,0.1,200,0.6741045117378235,0.0,0.0
24336,0.0,0.16693910397589207,4.35,0.03,200,0.6741045117378235,0.0,0.0
24648,0.0,0.16786338165402412,4.45,0.09,200,0.6741045117378235,0.0,0.0
24960,0.0,0.1668062659353018,4.24,0.12,200,0.6741045117378235,0.0,0.0
25272,0.0,0.1749964889138937,4.63,0.06,250,0.6745140850543976,0.0,0.0
25584,0.0,0.16933221876621246,4.58,0.07,250,0.6745140850543976,0.0,0.0
25896,0.0,0.1687897975742817,4.47,0.13,250,0.6745140850543976,0.0,0.0
26208,0.01,0.17273136995732785,4.42,0.11,250,0.6745140850543976,0.0,0.0
26520,0.0,0.17135710015892983,4.3,0.1,250,0.6745140850543976,0.0,0.0
26832,0.0,0.17332182377576827,4.27,0.07,250,0.6745140850543976,0.0,0.0
27144,0.0,0.1737416309118271,4.36,0.09,250,0.6745140850543976,0.0,0.0
27456,0.0,0.17133211135864257,4.46,0.1,250,0.6745140850543976,0.0,0.0
27768,0.0,0.1721895994246006,4.14,0.12,250,0.6745140850543976,0.0,0.0
28080,0.0,0.17261711902916432,4.4,0.07,250,0.6745140850543976,0.0,0.0
28392,0.01,0.17510377176105976,4.35,0.11,250,0.6745140850543976,0.0,0.0
28704,0.01,0.17374970734119416,4.33,0.11,250,0.6745140850543976,0.0,0.0
29016,0.01,0.17447151288390159,4.33,0.08,250,0.6745140850543976,0.0,0.0
29328,0.0,0.17159665010869504,4.16,0.06,250,0.6745140850543976,0.0,0.0
29640,0.0,0.1726290848106146,4.46,0.08,250,0.6745140850543976,0.0,0.0
29952,0.0,0.17414229437708856,4.14,0.15,250,0.6745140850543976,0.0,0.0
