timesteps,ep_env_score_mean,ep_rm_score_mean,ep_cushion_mean,ep_foul_rate,queries_used_so_far,rm_train_loss,relabel_delta_mean,relabel_delta_std
15600,0.02,0.020936017985222863,4.68,0.14,150,0.6747713088989258,0.013010472059249878,0.016727877780795097
15912,0.02,0.017731202737195417,4.13,0.17,150,0.6747713088989258,0.013010472059249878,0.016727877780795097
16224,0.02,0.022714959777658805,4.64,0.07,150,0.6747713088989258,0.013010472059249878,0.016727877780795097
16536,0.02,0.028108430767897517,4.47,0.1,150,0.6747713088989258,0.013010472059249878,0.016727877780795097
16848,0.03,0.02993895596358925,4.59,0.18,150,0.6747713088989258,0.013010472059249878,0.016727877780795097
17160,0.02,0.03453416817239486,4.36,0.11,150,0.6747713088989258,0.013010472059249878,0.016727877780795097
17472,0.03,0.04006872568046674,4.59,0.12,150,0.6747713088989258,0.013010472059249878,0.016727877780795097
17784,0.01,0.04293664983473718,4.58,0.07,150,0.6747713088989258,0.013010472059249878,0.016727877780795097
18096,0.0,0.04694613851606846,4.31,0.12,150,0.6747713088989258,0.013010472059249878,0.016727877780795097
18408,0.01,0.04324421812780201,4.15,0.15,150,0.6747713088989258,0.013010472059249878,0.016727877780795097
18720,0.01,0.04872270530147944,4.46,0.13,150,0.6747713088989258,0.013010472059249878,0.016727877780795097
19032,0.02,0.05207842936739326,4.49,0.1,150,0.6747713088989258,0.013010472059249878,0.016727877780795097
19344,0.01,0.051244452344253656,4.92,0.09,150,0.6747713088989258,0.013010472059249878,0.016727877780795097
19656,0.0,0.054663686630083246,4.24,0.16,150,0.6747713088989258,0.013010472059249878,0.016727877780795097
19968,0.02,0.05387789290398359,4.61,0.1,150,0.6747713088989258,0.013010472059249878,0.016727877780795097
20280,0.0,0.13264055147767068,4.66,0.06,200,0.6482759416103363,0.06292875856161118,0.04036528244614601
20592,0.0,0.12281754314899444,4.8,0.06,200,0.6482759416103363,0.06292875856161118,0.04036528244614601
20904,0.01,0.11465090610086918,4.93,0.09,200,0.6482759416103363,0.06292875856161118,0.04036528244614601
21216,0.0,0.11473810385912657,4.64,0.03,200,0.6482759416103363,0.06292875856161118,0.04036528244614601
21528,0.0,0.1208539953455329,4.4,0.11,200,0.6482759416103363,0.06292875856161118,0.04036528244614601
21840,0.01,0.12045618227683008,4.54,0.07,200,0.6482759416103363,0.06292875856161118,0.04036528244614601
22152,0.01,0.12373070772737264,4.22,0.09,200,0.6482759416103363,0.06292875856161118,0.04036528244614601
22464,0.0,0.12566374192014337,4.57,0.15,200,0.6482759416103363,0.06292875856161118,0.04036528244614601
22776,0.0,0.12944208078086375,4.18,0.16,200,0.6482759416103363,0.06292875856161118,0.04036528244614601
23088,0.01,0.13148742638528346,4.18,0.16,200,0.6482759416103363,0.06292875856161118,0.04036528244614601
23400,0.01,0.12580797202885152,4.36,0.1,200,0.6482759416103363,0.06292875856161118,0.04036528244614601
23712,0.0,0.129293574988842,4.33,0.18,200,0.6482759416103363,0.06292875856161118,0.04036528244614601
24024,0.0,0.13394657850265504,4.34,0.19,200,0.6482759416103363,0.06292875856161118,0.04036528244614601
24336,0.0,0.13179935172200202,4.15,0.15,200,0.6482759416103363,0.06292875856161118,0.04036528244614601
24648,0.0,0.13371258802711963,3.97,0.22,200,0.6482759416103363,0.06292875856161118,0.04036528244614601
24960,0.01,0.13345365576446055,4.01,0.17,200,0.6482759416103363,0.06292875856161118,0.04036528244614601
25272,0.0,0.13188988156616688,4.39,0.06,250,0.6535080224275589,0.016435418277978897,0.023095306009054184
25584,0.0,0.1286534808203578,4.67,0.13,250,0.6535080224275589,0.016435418277978897,0.023095306009054184
25896,0.0,0.12553159892559052,4.76,0.08,250,0.6535080224275589,0.016435418277978897,0.023095306009054184
26208,0.01,0.12084842663258315,4.65,0.08,250,0.6535080224275589,0.016435418277978897,0.023095306009054184
26520,0.01,0.12443557880818844,4.28,0.13,250,0.6535080224275589,0.016435418277978897,0.023095306009054184
26832,0.0,0.12049930503591895,4.44,0.12,250,0.6535080224275589,0.016435418277978897,0.023095306009054184
27144,0.0,0.12323314566165208,4.35,0.14,250,0.6535080224275589,0.016435418277978897,0.023095306009054184
27456,0.0,0.12428379464894533,4.52,0.12,250,0.6535080224275589,0.016435418277978897,0.023095306009054184
27768,0.0,0.12659332662820816,4.41,0.13,250,0.6535080224275589,0.016435418277978897,0.023095306009054184
28080,0.0,0.12648600704967974,4.12,0.14,250,0.6535080224275589,0.016435418277978897,0.023095306009054184
28392,0.01,0.12227897922042757,4.38,0.11,250,0.6535080224275589,0.016435418277978897,0.023095306009054184
28704,0.0,0.12355005029588938,4.5,0.18,250,0.6535080224275589,0.016435418277978897,0.023095306009054184
29016,0.0,0.12760936688631774,4.35,0.15,250,0.6535080224275589,0.016435418277978897,0.023095306009054184
29328,0.0,0.12232874350622297,4.67,0.1,250,0.6535080224275589,0.016435418277978897,0.023095306009054184
29640,0.0,0.12522255627438425,4.13,0.19,250,0.6535080224275589,0.016435418277978897,0.023095306009054184
29952,0.0,0.12201982701197267,4.62,0.09,250,0.6535080224275589,0.016435418277978897,0.023095306009054184
