timesteps,ep_env_score_mean,ep_rm_score_mean,ep_cushion_mean,ep_foul_rate,queries_used_so_far,rm_train_loss,relabel_delta_mean,relabel_delta_std
14664,0.01,-0.03362183573190123,2.15,0.06,100,0.6899859309196472,0.053083568811416626,0.049726903438568115
14976,0.0,-0.02183060125913471,2.28,0.06,100,0.6899859309196472,0.053083568811416626,0.049726903438568115
15288,0.03,-0.017470478555187584,3.02,0.04,150,0.6874983906745911,0.033837784081697464,0.03501161187887192
15600,0.01,-0.025059263985604048,3.0,0.06,150,0.6874983906745911,0.033837784081697464,0.03501161187887192
15912,0.01,-0.01765538990497589,2.88,0.13,150,0.6874983906745911,0.033837784081697464,0.03501161187887192
16224,0.04,-0.020844318552408366,2.67,0.04,150,0.6874983906745911,0.033837784081697464,0.03501161187887192
16536,0.01,-0.016814936057198793,2.96,0.06,150,0.6874983906745911,0.033837784081697464,0.03501161187887192
16848,0.0,-0.017941072802059352,2.54,0.07,150,0.6874983906745911,0.033837784081697464,0.03501161187887192
17160,0.01,-0.01794955403311178,2.57,0.06,150,0.6874983906745911,0.033837784081697464,0.03501161187887192
17472,0.0,-0.009470911889802664,2.55,0.04,150,0.6874983906745911,0.033837784081697464,0.03501161187887192
17784,0.02,-0.0005982992192730308,2.61,0.03,150,0.6874983906745911,0.033837784081697464,0.03501161187887192
18096,0.01,-0.004168052459135652,2.27,0.06,150,0.6874983906745911,0.033837784081697464,0.03501161187887192
18408,0.01,0.002415138108190149,2.48,0.05,150,0.6874983906745911,0.033837784081697464,0.03501161187887192
18720,0.01,0.003999368106015026,2.9,0.04,150,0.6874983906745911,0.033837784081697464,0.03501161187887192
19032,0.0,0.009307774400804191,2.66,0.03,150,0.6874983906745911,0.033837784081697464,0.03501161187887192
19344,0.01,0.009788478123955429,2.86,0.04,150,0.6874983906745911,0.033837784081697464,0.03501161187887192
19656,0.0,0.011025981775019318,2.64,0.02,150,0.6874983906745911,0.033837784081697464,0.03501161187887192
19968,0.01,0.01502343756845221,2.78,0.01,150,0.6874983906745911,0.033837784081697464,0.03501161187887192
20280,0.0,0.049770775567740205,3.19,0.01,200,0.686738446354866,0.0406259149312973,0.035579804331064224
20592,0.01,0.031096392958424986,3.1,0.02,200,0.686738446354866,0.0406259149312973,0.035579804331064224
20904,0.01,0.03159395598340779,2.96,0.01,200,0.686738446354866,0.0406259149312973,0.035579804331064224
21216,0.0,0.03158350644633174,3.05,0.01,200,0.686738446354866,0.0406259149312973,0.035579804331064224
21528,0.01,0.02982424255926162,3.12,0.01,200,0.686738446354866,0.0406259149312973,0.035579804331064224
21840,0.0,0.028579368153586984,2.71,0.01,200,0.686738446354866,0.0406259149312973,0.035579804331064224
22152,0.0,0.025740479500964284,2.91,0.03,200,0.686738446354866,0.0406259149312973,0.035579804331064224
22464,0.01,0.03205924297682941,2.78,0.01,200,0.686738446354866,0.0406259149312973,0.035579804331064224
22776,0.0,0.03637508695479483,2.42,0.0,200,0.686738446354866,0.0406259149312973,0.035579804331064224
23088,0.0,0.03847005582414567,3.11,0.0,200,0.686738446354866,0.0406259149312973,0.035579804331064224
23400,0.0,0.03827322983182967,3.14,0.05,200,0.686738446354866,0.0406259149312973,0.035579804331064224
23712,0.01,0.04377524128183723,2.63,0.01,200,0.686738446354866,0.0406259149312973,0.035579804331064224
24024,0.0,0.04299927878659218,3.16,0.02,200,0.686738446354866,0.0406259149312973,0.035579804331064224
24336,0.0,0.04168454074300826,2.85,0.04,200,0.686738446354866,0.0406259149312973,0.035579804331064224
24648,0.0,0.04033389184623957,2.69,0.02,200,0.686738446354866,0.0406259149312973,0.035579804331064224
24960,0.02,0.04757816590834409,2.96,0.01,200,0.686738446354866,0.0406259149312973,0.035579804331064224
25272,0.0,0.03638613697141409,3.07,0.0,250,0.6885321885347366,0.02510867267847061,0.020988648757338524
25584,0.0,0.02594597080722451,3.07,0.01,250,0.6885321885347366,0.02510867267847061,0.020988648757338524
25896,0.01,0.026315237740054728,3.07,0.03,250,0.6885321885347366,0.02510867267847061,0.020988648757338524
26208,0.02,0.021656820299103857,3.34,0.01,250,0.6885321885347366,0.02510867267847061,0.020988648757338524
26520,0.01,0.017226721039041878,2.97,0.01,250,0.6885321885347366,0.02510867267847061,0.020988648757338524
26832,0.0,0.02187151912599802,3.11,0.0,250,0.6885321885347366,0.02510867267847061,0.020988648757338524
27144,0.0,0.01902110948227346,3.12,0.01,250,0.6885321885347366,0.02510867267847061,0.020988648757338524
27456,0.0,0.020853470638394357,2.39,0.0,250,0.6885321885347366,0.02510867267847061,0.020988648757338524
27768,0.0,0.023332633804529906,3.32,0.02,250,0.6885321885347366,0.02510867267847061,0.020988648757338524
28080,0.0,0.02098805914632976,3.23,0.0,250,0.6885321885347366,0.02510867267847061,0.020988648757338524
28392,0.01,0.024600648963823916,3.14,0.0,250,0.6885321885347366,0.02510867267847061,0.020988648757338524
28704,0.01,0.022986556794494392,3.05,0.0,250,0.6885321885347366,0.02510867267847061,0.020988648757338524
29016,0.01,0.02364862535148859,3.1,0.01,250,0.6885321885347366,0.02510867267847061,0.020988648757338524
29328,0.0,0.02172577504068613,3.03,0.01,250,0.6885321885347366,0.02510867267847061,0.020988648757338524
29640,0.0,0.021283768629655243,3.07,0.01,250,0.6885321885347366,0.02510867267847061,0.020988648757338524
29952,0.0,0.013593728188425303,3.4,0.01,250,0.6885321885347366,0.02510867267847061,0.020988648757338524
