variant,shot_idx,score,fouled,cushion_hits,duration,cumulative_score,chosen_robustness,theta,power,spin_a,spin_b
baseline_robust,8,1,False,1,4.909416322548076,9,0.375,1.443469762802124,0.9152129888534546,0.5849764347076416,-0.6653721332550049
baseline_robust,9,1,False,1,5.009370697776508,10,0.25,1.7691289186477661,0.9761455655097961,-0.07815217971801758,-0.6632152199745178
baseline_robust,10,1,False,0,2.600001005000396,11,1.0,1.0395700931549072,0.5155377388000488,-0.7538269758224487,-0.970454752445221
baseline_robust,11,1,False,0,4.298769842697083,12,1.0,3.3993639945983887,0.771517813205719,-0.3822212219238281,-0.9675729870796204
baseline_robust,12,1,False,1,4.551973676187704,13,0.625,4.071802139282227,0.9067841172218323,-0.19715607166290283,-0.9628275632858276
baseline_robust,13,1,False,0,3.2498107045903972,14,1.0,4.351909160614014,0.43877488374710083,0.9761867523193359,-0.9423885345458984
baseline_robust,14,1,False,1,4.542141824819376,15,1.0,2.9251410961151123,0.9394667148590088,0.6909892559051514,-0.918339729309082
baseline_robust,15,1,False,0,2.1670413538093665,16,1.0,6.197037696838379,0.1629638671875,0.6934511661529541,0.7675991058349609
baseline_robust,16,1,False,0,3.339087618297178,17,1.0,3.7268412113189697,0.44104933738708496,-0.8465958833694458,-0.8815326690673828
baseline_robust,17,1,False,0,5.3977195104285345,18,0.75,3.895207643508911,0.9780340194702148,0.8017873764038086,-0.5919327139854431
baseline_robust,18,1,False,0,2.295090336207493,19,1.0,5.372367858886719,0.5531449913978577,0.9696509838104248,-0.808491051197052
baseline_robust,19,1,False,0,2.0327540043462946,20,1.0,5.530295372009277,0.4503604769706726,0.9802247285842896,-0.3675934076309204
baseline_robust,20,1,False,1,4.770621399305411,21,1.0,3.2582643032073975,0.733498215675354,-0.8087356090545654,-0.9601986408233643
baseline_robust,21,1,False,1,4.414411457228034,22,0.5,5.482067108154297,0.9839084148406982,-0.7686591148376465,-0.5759258270263672
baseline_robust,22,1,False,0,5.164633940992818,23,1.0,2.645392656326294,0.9552637934684753,0.5439438819885254,-0.7973602414131165
baseline_robust,23,1,False,1,1.9675713296592625,24,1.0,5.6796488761901855,0.5411295890808105,0.9757275581359863,-0.756343424320221
baseline_robust,24,1,False,0,3.792843014833221,25,1.0,3.1463513374328613,0.6760004758834839,0.3794262409210205,-0.9557291269302368
baseline_robust,25,1,False,0,1.7217208389465093,26,1.0,5.467325210571289,0.4978630244731903,0.9655020236968994,-0.8136790990829468
baseline_robust,26,1,False,1,2.771107919611348,27,0.875,2.5622482299804688,0.4396997094154358,0.7706735134124756,-0.9434636235237122
baseline_robust,27,1,False,1,3.56854643502428,28,0.875,1.739607810974121,0.7996060252189636,-0.869051992893219,-0.914376974105835
baseline_robust,28,1,False,0,3.7137361045922512,29,1.0,2.7341806888580322,0.7046530842781067,-0.8017601370811462,-0.9688029885292053
baseline_robust,29,1,False,1,4.808391485069001,30,0.75,3.5449435710906982,0.9400869607925415,0.08741188049316406,-0.8814645409584045
baseline_robust,30,1,False,0,5.17920731742811,31,0.875,3.083899974822998,0.9811776876449585,-0.10388296842575073,-0.9671052098274231
baseline_robust,31,1,False,2,4.630281614893484,32,0.625,2.4398417472839355,0.9711240530014038,0.8983588218688965,-0.94411301612854
baseline_robust,32,1,False,1,5.039722195145584,33,0.5,4.70078706741333,0.8696587085723877,-0.6870816349983215,0.8424334526062012
baseline_robust,33,1,False,0,3.508180556490978,34,0.75,1.203340768814087,0.807806134223938,-0.8165139555931091,-0.8970797061920166
baseline_robust,34,1,False,3,5.226398920793242,35,1.0,2.615877628326416,0.7978247404098511,0.48282158374786377,-0.913297176361084
baseline_robust,35,1,False,1,5.715702199648131,36,0.75,3.6213393211364746,0.9303141832351685,-0.13714945316314697,-0.6096798777580261
baseline_robust,36,1,False,1,4.452626981982784,37,1.0,5.424248218536377,0.9881541728973389,0.7753361463546753,-0.7437912821769714
baseline_robust,37,1,False,2,4.765897971097525,38,1.0,4.094870090484619,0.9471919536590576,0.8361994028091431,0.8845018148422241
baseline_robust,38,1,False,1,4.458936223159069,39,0.875,0.14344537258148193,0.5973719358444214,-0.41481637954711914,0.5947258472442627
baseline_robust,39,1,False,0,4.039703704700154,40,1.0,1.7306015491485596,0.9801967144012451,-0.20991992950439453,-0.9701780080795288
baseline_robust,40,1,False,0,5.350474609145494,41,1.0,3.0714991092681885,0.9622804522514343,-0.04062849283218384,-0.8145243525505066
baseline_robust,41,1,False,0,2.663027174353837,42,0.875,5.155927658081055,0.6114192605018616,0.8452829122543335,-0.8564949631690979
baseline_robust,42,1,False,0,3.358973261037509,43,1.0,4.670475482940674,0.6694425344467163,-0.8927432298660278,-0.9560176134109497
baseline_robust,43,1,False,2,4.6881189813179525,44,0.25,1.2209643125534058,0.995425820350647,-0.7121586203575134,-0.9163911938667297
baseline_robust,44,1,False,2,3.838853361733645,45,1.0,5.076388359069824,0.6353422403335571,-0.8455190062522888,0.7892446517944336
baseline_robust,45,1,False,0,3.0194556899739755,46,1.0,4.561288356781006,0.6744842529296875,-0.6502568125724792,-0.8344714045524597
baseline_robust,46,1,False,0,4.869852705170878,47,1.0,3.5819077491760254,0.8872227668762207,0.6604571342468262,-0.9715352654457092
baseline_robust,47,1,False,0,3.299959747721213,48,1.0,3.953920602798462,0.6720594763755798,0.9493159055709839,-0.9543006420135498
baseline_robust,48,1,False,0,3.0637764502393834,49,0.75,4.959156513214111,0.7073138952255249,0.9262634515762329,-0.8990623354911804
baseline_robust,49,1,False,1,4.5203011393329255,50,1.0,1.4991176128387451,0.9474232196807861,0.16062593460083008,-0.8872746229171753
